2024 RANK,2023 RANK,InstitutionName,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Score,Academic Reputation Rank,Employer Score,Employer Reputation Rank,Student Score,Faculty Student Rank,Citations Score,Citations per Faculty Rank,International Faculty Score,Faculty Rank,International Students Score,International Students Rank,International Research Network Score,Research Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall Score,topuniscore,topayoff,Cost Per Year,wagehrstoafforddegree,Expected Jnr Salary,Expected Snr Salary,Latitude,Longitude
1,1,Massachusetts Institute of Technology (MIT) ,US,United States,M,CO,VH,5,B,100,4,100,2,100,16,100,4,100,56,88.2,128,94.3,58,100,4,95.2,51,100,100,19,27091,12264,59456,113268,42.360091,-71.09416
2,2,University of Cambridge,UK,United Kingdom,L,FC,VH,5,A,100,3,100,4,100,14,92.3,68,100,64,95.8,85,99.9,7,100,6,97.3,33,99.2,96,12,11405,3215,37460,66806,52.205356,0.113168
3,4,University of Oxford,UK,United Kingdom,L,FC,VH,5,A,100,2,100,5,100,8,90.6,73,98.2,110,98.2,60,100,1,100,3,97.8,26,98.9,96,12,11405,3215,37460,66806,51.7548164,-1.2543668
4,5,Harvard University,US,United States,L,FC,VH,5,B,100,1,100,1,98.3,44,100,1,84.6,210,66.8,223,100,5,100,1,96.7,39,98.3,100,19,27091,12264,59456,113268,42.3744368,-71.1182488
5,3,Stanford University,US,United States,L,FC,VH,5,B,100,5,100,3,100,11,99.9,8,99.9,78,51.2,284,95.8,44,100,2,94.4,63,98.1,100,19,27091,12264,59456,113268,37.42766,-122.17006
6,6,Imperial College London,UK,United Kingdom,L,FC,VH,5,A,98.3,23,99.4,12,98.5,42,94,58,100,61,100,14,96.7,35,83,45,94.4,61,97.8,96,12,11405,3215,37460,66806,51.4988222,-0.1748735
7,9,ETH Zurich - Swiss Federal Institute of Technology,CH,Switzerland,L,FO,VH,5,A,98.8,19,83.6,62,72.1,177,98.9,21,100,22,98.5,56,96,42,79.1,52,88.4,103,93.3,95,1,1373,198,81776,146116,47.3763889,8.547628
8,11,National University of Singapore (NUS),SG,Singapore,XL,FC,VH,3,A,99.4,15,88.6,54,76.5,157,93.2,64,100,33,81.9,154,76.3,165,100,7,88.1,106,92.7,96,10,9112,7730,43641,80207,1.2966426,103.7763939
9,8,University College London,UK,United Kingdom,XL,FC,VH,5,A,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100,15,100,2,51.6,126,92.5,74,92.4,96,12,11405,3215,37460,66806,51.5246371,-0.2164408
10,27,"University of California, Berkeley (UCB)",US,United States,XL,FC,VH,5,A,100,6,100,6,20.5,656,99.9,7,92.2,172,63.9,235,92.4,66,98.7,15,100,1,90.4,100,19,27091,12264,59456,113268,37.870151,-122.2594606
11,10,University of Chicago,US,United States,L,FC,VH,5,B,99.1,17,95.4,38,92.5,72,78.5,122,81.2,225,84.4,145,61.4,236,98.3,17,81.7,137,90.3,100,19,27091,12264,59456,113268,41.7904484,-87.6003953
12,13,University of Pennsylvania,US,United States,L,FC,VH,5,B,96.4,29,89.1,52,99.9,24,68.4,153,96,140,70.3,208,83.3,129,100,5,99.9,3,89.4,100,19,27091,12264,59456,113268,39.9522188,-75.1932137
13,20,Cornell University,US,United States,L,FC,VH,5,B,98.1,26,90.5,47,52.9,297,99.1,18,68.7,283,64,234,79.9,144,98,18,94.7,58,89.3,100,19,27091,12264,59456,113268,42.4534492,-76.4735027
14,33,The University of Melbourne,AU,Australia,XL,FC,VH,5,A,98.4,21,92.3,45,15.4,701+,92.1,69,92.9,166,99.7,36,97.2,30,93.3,31,90.4,92,87.9,95,5,5393,1490,51048,96902,-37.7983459,144.960974
15,6,California Institute of Technology (Caltech),US,United States,S,CO,VH,5,B,96.1,30,93.7,41,100,5,100,3,100,63,81,159,22.8,521,34.2,225,41.4,357,87.8,100,19,27091,12264,59456,113268,34.1376576,-118.125269
16,18,Yale University,US,United States,M,FC,VH,5,B,99.9,9,99.9,7,100,3,45.8,293,89.8,184,78.8,169,85.8,112,99.9,9,99.2,13,87.7,100,19,27091,12264,59456,113268,41.3163244,-72.9223431
17,12,Peking University,CN,China,XL,FC,VH,5,A,99.4,14,95.4,37,90.4,85,97.5,38,50.8,354,23.5,492,43.2,353,82.6,46,68.8,212,87,94,1,1008,2742,30726,58947,39.986913,116.3058739
17,16,Princeton University,US,United States,M,CO,VH,5,B,99.8,10,97.5,23,64.5,216,100,2,16.7,640,57.5,261,52.5,298,94.6,27,79.3,155,87,100,19,27091,12264,59456,113268,40.3430942,-74.6550739
19,45,The University of New South Wales (UNSW Sydney),AU,Australia,XL,FC,VH,4,A,89.7,45,88.1,55,18.2,701+,95.9,47,100,55,99.1,50,99,15,95.5,25,99.6,10,86.7,95,5,5393,1490,51048,96902,-33.917347,151.2312675
19,41,The University of Sydney,AU,Australia,XL,FC,VH,5,A,96,31,87.7,57,11.8,701+,93.5,63,99.5,89,100,13,91.9,70,88.1,42,99.7,7,86.7,95,5,5393,1490,51048,96902,-33.888326,151.15
21,34,University of Toronto,CA,Canada,XL,FC,VH,5,A,99.7,11,96,33,54.2,283,57.2,226,95.7,145,96.4,80,95.5,46,96.4,22,99.9,2,86.3,94,8,9176,3642,47833,90994,43.6634932,-79.3960598
